System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 hcw
Machine Name:	 RPC354

Data properties:

Recording name:	 Rec 59
Recording date:	 05/04/2009
Recording time:	 15:22:50
Recording resolution:	 1280 x 1024

Export date:	 24/10/2012
Export time:	 12:02:07

Participant:	 P57
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 100
Min duration: 200

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	1947.445low.JPG																	
32	15:22:50.032	00:00:00.031	0	279.5837	502.8719	0.7420607	0.3935216	683.8028	4.061868	0	-1280	-1024	0.5034664	0.4042166	-1	-1	4		280	503						1947.445low.JPG	0	414	332	433	346				0	Content		-153	157	31802	14405256802	
52	15:22:50.052	00:00:00.051	1	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	51802	14405276802	
72	15:22:50.072	00:00:00.071	2	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	71696	14405296696	
92	15:22:50.092	00:00:00.091	3	286.3682	480.4554	0.743476	0.3948101	683.8028	4.082767	0	226.8437	78.15397	0.5048395	0.405156	693.2928	3.220882	0		257	279						1947.445low.JPG	0	414	332	433	346				0	Content		-176	-67	91686	14405316686	
112	15:22:50.112	00:00:00.111	4	361.1199	479.9123	0.7429806	0.3952183	683.8028	4.16172	0	272.6405	193.065	0.5042626	0.4053048	693.2928	3.583421	0		317	336						1947.445low.JPG	0	414	332	433	346				0	Content		-116	-10	111556	14405336556	
132	15:22:50.132	00:00:00.131	5	360.3033	475.7339	0.7421173	0.3954347	686.0653	4.17518	0	269.9755	183.6997	0.5036242	0.405405	696.5483	3.599874	0		315	330						1947.445low.JPG	0	414	332	433	346				0	Content		-118	-16	131585	14405356585	
151	15:22:50.151	00:00:00.151	6	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	151434	14405376434	
171	15:22:50.171	00:00:00.171	7	443.909	384.0412	0.7429447	0.3956225	686.0653	4.479953	0	398.494	357.1859	0.5042254	0.4053631	696.5483	4.203728	0		421	371						1947.445low.JPG	0	414	332	433	346				0	Content		-12	25	171442	14405396442	
191	15:22:50.191	00:00:00.191	8	479.3195	450.2029	0.7432579	0.3952712	686.0653	4.204171	0	506.289	307.5999	0.5043445	0.4049641	696.5483	4.366055	0		493	379						1947.445low.JPG	0	414	332	433	346				0	Content		60	33	191438	14405416438	
211	15:22:50.211	00:00:00.211	9	491.5645	454.3215	0.7434306	0.3946718	686.0653	4.210017	0	399.2403	352.6196	0.5043648	0.4042765	696.5483	4.342215	0		445	403						1947.445low.JPG	0	414	332	433	346				0	Content		12	57	211318	14405436318	
231	15:22:50.231	00:00:00.231	10	505.1706	460.0544	0.7433583	0.3939945	685.2181	4.210773	0	435.0045	334.6405	0.5043777	0.4035081	696.319	4.316984	0		470	397						1947.445low.JPG	0	414	332	433	346				0	Content		37	51	231321	14405456321	
251	15:22:50.251	00:00:00.251	11	467.692	426.2152	0.7433488	0.3935718	685.2181	4.447165	0	-1280	-1024	0.7433488	0.3935718	-1	-1	4		468	426						1947.445low.JPG	0	414	332	433	346				0	Content		35	80	251208	14405476208	
271	15:22:50.271	00:00:00.271	12	457.1789	480.8763	0.7431934	0.3932552	685.2181	4.660732	0	377.3339	195.7822	0.5041733	0.4027119	696.319	3.718557	0		417	338						1947.445low.JPG	0	414	332	433	346				0	Content		-16	-8	271189	14405496189	
291	15:22:50.291	00:00:00.291	13	576.7316	503.7605	0.7425135	0.3933173	685.2181	4.383932	0	483.5124	412.5005	0.5035591	0.4030257	696.319	4.318681	0		530	458						1947.445low.JPG	0	414	332	433	346				0	Content		97	112	291063	14405516063	
311	15:22:50.311	00:00:00.311	14	629.9078	440.0659	0.7410116	0.393926	685.2181	4.331325	0	542.105	490.9412	0.5022796	0.4035614	696.319	4.230237	0		586	466						1947.445low.JPG	0	414	332	433	346				0	Content		153	120	311053	14405536053	
331	15:22:50.331	00:00:00.330	15	669.3314	479.3865	0.7409853	0.3944817	682.6654	4.343379	0	610.0532	569.7761	0.5022703	0.4041896	696.5105	4.142908	0		640	525						1947.445low.JPG	0	414	332	433	346				0	Content		207	179	330954	14405555954	
351	15:22:50.351	00:00:00.350	16	618.6699	432.2381	0.7409577	0.3949213	682.6654	4.29267	0	591.4724	401.8291	0.5022465	0.4047165	696.5105	4.38708	0		605	417						1947.445low.JPG	0	414	332	433	346				0	Content		172	71	350933	14405575933	
371	15:22:50.371	00:00:00.370	17	633.7615	500.2738	0.7409778	0.3954577	682.6654	4.368535	0	598.9246	374.0457	0.5022314	0.405277	696.5105	4.460689	0		616	437						1947.445low.JPG	0	414	332	433	346				0	Content		183	91	370812	14405595812	
391	15:22:50.391	00:00:00.390	18	645.2615	492.1485	0.7410452	0.39588	682.6654	4.480793	0	562.3777	388.1735	0.5023606	0.4057353	696.5105	4.270702	0		604	440						1947.445low.JPG	0	414	332	433	346				0	Content		171	94	390802	14405615802	
411	15:22:50.411	00:00:00.410	19	629.5942	444.5767	0.7410846	0.3962269	682.6654	4.40506	0	562.153	388.8415	0.5024071	0.4061137	696.5105	4.753717	0		596	417						1947.445low.JPG	0	414	332	433	346				0	Content		163	71	410680	14405635680	
431	15:22:50.431	00:00:00.430	20	628.4702	476.9029	0.7411012	0.3964699	683.1558	4.457783	0	562.5919	388.3929	0.5024889	0.406252	696.867	4.775967	0		596	433						1947.445low.JPG	0	414	332	433	346				0	Content		163	87	430676	14405655676	
451	15:22:50.451	00:00:00.450	21	640.0668	376.6236	0.7410735	0.396421	683.1558	4.640389	0	543.7444	342.2116	0.5024558	0.4062581	696.867	4.787635	0		592	359						1947.445low.JPG	0	414	332	433	346				0	Content		159	13	450552	14405675552	
471	15:22:50.471	00:00:00.470	22	656.8708	468.4434	0.7409511	0.3961825	683.1558	4.333292	0	595.3541	392.4218	0.5023357	0.4060737	696.867	4.692679	0		626	430						1947.445low.JPG	0	414	332	433	346				0	Content		193	84	470548	14405695548	
490	15:22:50.490	00:00:00.490	23	624.4416	515.7156	0.7407407	0.3957714	683.1558	4.352215	0	590.9399	369.0457	0.5022163	0.405674	696.867	4.502082	0		608	442						1947.445low.JPG	0	414	332	433	346				0	Content		175	96	490427	14405715427	
510	15:22:50.510	00:00:00.510	24	636.1127	495.935	0.7405361	0.3954708	683.1558	4.31566	0	-1280	-1024	0.7405361	0.3954708	-1	-1	4		636	496						1947.445low.JPG	0	414	332	433	346				0	Content		203	150	510433	14405735433	
530	15:22:50.530	00:00:00.530	25	634.0284	517.7555	0.7401081	0.3952608	684.3996	4.323771	0	-1280	-1024	0.5017796	0.4052837	-1	-1	4		634	518						1947.445low.JPG	0	414	332	433	346				0	Content		201	172	530325	14405755325	
550	15:22:50.550	00:00:00.550	26	609.3807	509.2874	0.7397118	0.3955398	684.3996	4.538187	0	429.6423	221.9443	0.5015336	0.4055438	697.822	3.745816	0		520	366						1947.445low.JPG	0	414	332	433	346				0	Content		87	20	550319	14405775319	
570	15:22:50.570	00:00:00.570	27	648.1284	582.9294	0.7394156	0.3955896	684.3996	4.338912	0	557.7282	494.8788	0.5013343	0.4057396	697.822	4.673334	0	0	603	539						1947.445low.JPG	0	414	332	433	346	213	145	678	0	Content		170	193	570182	14405795182	
590	15:22:50.590	00:00:00.590	28	642.5748	504.7454	0.7392854	0.3957613	684.3996	4.383363	0	-1280	-1024	0.7392854	0.3957613	-1	-1	4	0	643	505						1947.445low.JPG	0	414	332	433	346	213	145	678	0	Content		210	159	590178	14405815178	
