System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 hcw
Machine Name:	 RPC354

Data properties:

Recording name:	 Rec 52
Recording date:	 05/04/2009
Recording time:	 14:18:45
Recording resolution:	 1280 x 1024

Export date:	 24/10/2012
Export time:	 12:02:04

Participant:	 50
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 100
Min duration: 200

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	1995.184med.JPG																	
22	14:18:45.022	00:00:00.021	0	599.6633	482.1543	0.5705471	0.1864703	616.0486	4.940276	0	668.7021	470.4221	0.2726518	0.1999155	611.2114	4.54079	0	0	634	476						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		325	352	21653	10559323490	
42	14:18:45.042	00:00:00.041	1	603.5605	491.1562	0.57085	0.1868672	616.0486	4.942479	0	662.7206	467.6741	0.2729117	0.2003043	611.2114	4.558136	0	0	633	479						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		324	355	41527	10559343364	
61	14:18:45.061	00:00:00.061	2	599.2347	482.2802	0.5712625	0.1874158	616.0486	4.963169	0	667.9633	485.5598	0.273334	0.2006088	611.2114	4.571732	0	0	634	484						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		325	360	61400	10559363237	
81	14:18:45.081	00:00:00.081	3	604.5645	497.0893	0.5718078	0.1877625	616.0486	4.968508	0	670.7118	472.3094	0.2739128	0.2009908	611.2114	4.586353	0	0	638	485						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		329	361	81424	10559383261	
101	14:18:45.101	00:00:00.101	4	595.2601	485.2122	0.57241	0.1881925	616.0486	4.986752	0	676.9041	474.3656	0.2745172	0.2012655	611.2114	4.584525	0	0	636	480						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		327	356	101414	10559403251	
121	14:18:45.121	00:00:00.121	5	596.2556	482.6089	0.5728174	0.1882343	616.763	5.002041	0	674.4275	477.4472	0.2748883	0.2013201	612.4164	4.591505	0	0	635	480						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		326	356	121307	10559423144	
141	14:18:45.141	00:00:00.141	6	601.4644	492.8963	0.5730233	0.1883657	616.763	4.99352	0	659.1559	482.1475	0.2751017	0.2013158	612.4164	4.610991	0	0	630	488						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		321	364	141306	10559443143	
161	14:18:45.161	00:00:00.161	7	605.1533	486.4023	0.5730101	0.1883063	616.763	4.994291	0	659.8663	485.8896	0.2750908	0.2012575	612.4164	4.627796	0	0	633	486						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		324	362	161171	10559463008	
181	14:18:45.181	00:00:00.181	8	603.1617	494.0724	0.5727325	0.1881552	616.763	5.021785	0	660.1146	479.767	0.2748311	0.2011077	612.4164	4.638744	0	0	632	487						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		323	363	181039	10559482876	
201	14:18:45.201	00:00:00.201	9	606.8871	500.8497	0.5723393	0.1878289	616.763	5.035028	0	657.0577	478.6916	0.2744443	0.2008805	612.4164	4.624112	0	0	632	490						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		323	366	201049	10559502886	
221	14:18:45.221	00:00:00.221	10	607.2387	497.2784	0.5719097	0.1874829	618.2412	5.060069	0	657.1294	475.3279	0.274043	0.2006272	613.5775	4.635085	0	0	632	486						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		323	362	221037	10559522874	
241	14:18:45.241	00:00:00.240	11	610.3342	504.5605	0.5715769	0.1871145	618.2412	5.052945	0	660.686	483.2451	0.2737019	0.2003536	613.5775	4.694246	0	0	636	494						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		327	370	240910	10559542747	
261	14:18:45.261	00:00:00.260	12	609.8025	503.6204	0.5712805	0.1867008	618.2412	5.076303	0	660.4269	486.7063	0.2734356	0.1998658	613.5775	4.665792	0	0	635	495						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		326	371	260792	10559562629	
281	14:18:45.281	00:00:00.280	13	605.6217	497.1768	0.5711592	0.1864622	618.2412	5.074988	0	663.1829	483.5925	0.2733653	0.199574	613.5775	4.700669	0	0	634	490						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		325	366	280796	10559582633	
301	14:18:45.301	00:00:00.300	14	608.5369	502.8748	0.5712726	0.1863182	618.2412	5.102436	0	652.0118	484.6198	0.2734674	0.1994101	613.5775	4.732056	0	0	630	494						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		321	370	300783	10559602620	
321	14:18:45.321	00:00:00.320	15	605.7903	503.2097	0.571516	0.1862591	616.8453	5.099455	0	652.1022	484.8018	0.2737834	0.1994263	614.0369	4.733151	0	0	629	494						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		320	370	320661	10559622498	
341	14:18:45.341	00:00:00.340	16	606.4305	503.7862	0.5718552	0.186585	616.8453	5.137179	0	658.9755	478.6568	0.2741542	0.1995486	614.0369	4.720343	0	0	633	491						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		324	367	340658	10559642495	
361	14:18:45.361	00:00:00.360	17	609.9508	506.5864	0.5722919	0.1870253	616.8453	5.100059	0	653.5389	495.5774	0.2746004	0.1999104	614.0369	4.747079	0	0	632	501						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		323	377	360535	10559662372	
380	14:18:45.380	00:00:00.380	18	609.3029	503.946	0.5726375	0.1875109	616.8453	5.146214	0	648.2097	483.6528	0.2750406	0.2004112	614.0369	4.757252	0	0	629	494						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		320	370	380407	10559682244	
400	14:18:45.400	00:00:00.400	19	602.4993	506.6584	0.572898	0.1879676	616.8453	5.152487	0	661.0798	496.5096	0.275325	0.200784	614.0369	4.780905	0	0	632	502						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		323	378	400409	10559702246	
420	14:18:45.420	00:00:00.420	20	603.5453	505.0171	0.5728538	0.1882189	617.239	5.149945	0	657.8618	491.5375	0.2753955	0.2011189	614.6509	4.800247	0	0	631	498						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		322	374	420402	10559722239	
440	14:18:45.440	00:00:00.440	21	608.9569	514.6896	0.5726647	0.1882297	617.239	5.164559	0	656.2338	486.9619	0.2751693	0.2011556	614.6509	4.769644	0	0	633	501						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		324	377	440291	10559742128	
460	14:18:45.460	00:00:00.460	22	599.0183	505.632	0.5722542	0.1880074	617.239	5.152153	0	657.4275	497.7287	0.2747968	0.2008968	614.6509	4.710833	0	0	628	502						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		319	378	460282	10559762119	
480	14:18:45.480	00:00:00.480	23	604.6025	506.7242	0.5717198	0.1875032	617.239	5.151987	0	652.2461	496.7238	0.2742414	0.2005119	614.6509	4.723697	0	0	628	502						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		319	378	480192	10559782029	
500	14:18:45.500	00:00:00.500	24	604.431	510.585	0.5711859	0.1869731	617.239	5.13173	0	659.6057	493.3723	0.2737538	0.2000537	614.6509	4.740278	0	0	632	502						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		323	378	500063	10559801900	
520	14:18:45.520	00:00:00.520	25	604.7521	504.4344	0.5706103	0.186572	618.0323	5.131289	0	659.3419	500.4512	0.2732295	0.1996999	613.9288	4.706244	0	0	632	502						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		323	378	520044	10559821881	
540	14:18:45.540	00:00:00.540	26	647.3745	512.0784	0.5699198	0.1864402	618.0323	5.137221	0	694.8851	498.1822	0.2725868	0.1995852	613.9288	4.663384	0	0	671	505						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		362	381	540051	10559841888	
560	14:18:45.560	00:00:00.559	27	654.6307	512.0771	0.5699629	0.1862792	618.0323	5.102586	0	697.6721	495.3395	0.2726147	0.199491	613.9288	4.65848	0	0	676	504						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		367	380	559912	10559861749	
580	14:18:45.580	00:00:00.579	28	653.3237	511.0013	0.5701804	0.1863966	618.0323	5.069723	0	691.2048	502.9404	0.272795	0.199517	613.9288	4.62674	0	0	672	507						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		363	383	579778	10559881615	
600	14:18:45.600	00:00:00.599	29	660.772	511.153	0.5704775	0.1865017	618.0323	5.07268	0	695.4196	504.7162	0.2731349	0.199598	613.9288	4.590147	0	0	678	508						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		369	384	599772	10559901609	
620	14:18:45.620	00:00:00.619	30	660.2567	514.0691	0.5707608	0.1868387	616.6359	5.064454	0	695.6492	511.5855	0.2733764	0.1998966	611.2596	4.554269	0	0	678	513						1995.184med.JPG	0	661	775	309	124	348	374	1615	0	Content		369	389	619770	10559921607	
