System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 hcw
Machine Name:	 RPC354

Data properties:

Recording name:	 Rec 26
Recording date:	 01/04/2009
Recording time:	 16:26:53
Recording resolution:	 1280 x 1024

Export date:	 24/10/2012
Export time:	 12:01:53

Participant:	 P23
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 100
Min duration: 200

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	1934.394med_resized.jpg																	
28	16:26:53.028	00:00:00.028	0	621.0002	466.8446	0.5231108	0.2295461	715.3828	2.86173	0	632.7125	454.769	0.2822831	0.2322336	708.8141	3.04757	0	0	627	461						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		487	286	28015	22143424176	
48	16:26:53.048	00:00:00.048	1	629.8012	471.657	0.5231542	0.2294735	711.3286	2.837072	0	627.2789	474.7299	0.2822227	0.2322026	707.0645	3.015945	0	0	629	473						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		489	298	48005	22143444166	
68	16:26:53.068	00:00:00.067	2	627.3016	505.7421	0.5231238	0.2285907	711.3286	2.921982	0	634.8258	518.2473	0.2822957	0.2313086	707.0645	3.018102	0	0	631	512						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		491	337	67874	22143464035	
88	16:26:53.088	00:00:00.087	3	-1280	-1024	0.2822562	0.2302453	-1	-1	4	645.2568	487.7262	0.2822562	0.2302453	707.0645	2.984914	0	0	645	488						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		505	313	87877	22143484038	
108	16:26:53.108	00:00:00.107	4	628.6091	501.888	0.5230182	0.2264465	711.3286	2.961138	0	621.4841	517.5877	0.2821937	0.2291799	707.0645	3.041247	0	0	625	510						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		485	335	107782	22143503943	
128	16:26:53.128	00:00:00.127	5	634.4528	544.7241	0.5230215	0.2255461	711.3286	3.07064	0	628.3147	496.6399	0.2822551	0.2283741	707.0645	3.011185	0	0	631	521						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		491	346	127778	22143523939	
148	16:26:53.148	00:00:00.147	6	634.6774	548.2301	0.5232257	0.2253712	709.3353	3.062222	0	626.2586	517.0988	0.2823268	0.2280583	703.4889	2.993218	0	0	630	533						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		490	358	147631	22143543792	
168	16:26:53.168	00:00:00.167	7	645.631	450.4363	0.5236574	0.2254883	709.3353	2.869666	0	628.3593	528.9042	0.2826574	0.228114	703.4889	2.935186	0	0	637	490						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		497	315	167631	22143563792	
187	16:26:53.187	00:00:00.187	8	633.411	498.1122	0.5238976	0.2258929	709.3353	2.878778	0	618.9163	549.1117	0.2830638	0.228439	703.4889	3.024812	0	0	626	524						1934.394med_resized.jpg	0	1000	673	140	175	493	325	618	0	Content		486	349	187498	22143583659	
