System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 hcw
Machine Name:	 RPC354

Data properties:

Recording name:	 Rec 47
Recording date:	 05/04/2009
Recording time:	 13:38:34
Recording resolution:	 1280 x 1024

Export date:	 24/10/2012
Export time:	 12:02:02

Participant:	 P45
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 100
Min duration: 200

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	1917.170med_resized.jpg																	
39	13:38:34.039	00:00:00.038	0	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1917.170med_resized.jpg	0	1000	725	140	149				0	Content		-140	-149	38915	8149339780	
59	13:38:34.059	00:00:00.058	1	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1917.170med_resized.jpg	0	1000	725	140	149				0	Content		-140	-149	58904	8149359769	
79	13:38:34.079	00:00:00.078	2	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1917.170med_resized.jpg	0	1000	725	140	149				0	Content		-140	-149	78786	8149379651	
99	13:38:34.099	00:00:00.098	3	-1280	-1024	0.6483679	0.3986763	-1	-1	4	-1280	-1024	0.341514	0.4217604	-1	-1	4		0	0						1917.170med_resized.jpg	0	1000	725	140	149				0	Content		-140	-149	98692	8149399557	
119	13:38:34.119	00:00:00.118	4	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1917.170med_resized.jpg	0	1000	725	140	149				0	Content		-140	-149	118668	8149419533	
139	13:38:34.139	00:00:00.138	5	-1280	-1024	0.6490492	0.3995082	-1	-1	4	-1280	-1024	0.342221	0.4225526	-1	-1	4		0	0						1917.170med_resized.jpg	0	1000	725	140	149				0	Content		-140	-149	138661	8149439526	
159	13:38:34.159	00:00:00.158	6	668.9379	488.2285	0.6494827	0.4000027	577.0209	3.954476	0	693.6733	501.216	0.3426292	0.4229874	570.7878	3.839226	0	0	681	495						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		541	346	158538	8149459403	
179	13:38:34.179	00:00:00.178	7	661.3157	468.2119	0.6498164	0.4004907	589.3385	4.047481	0	684.4421	475.3916	0.3428697	0.4234692	582.0349	3.926498	0	0	673	472						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		533	323	178530	8149479395	
198	13:38:34.198	00:00:00.198	8	687.7377	460.1169	0.6499985	0.4009894	589.3385	3.992591	0	687.7365	465.4464	0.3430363	0.4239847	582.0349	3.997239	0	0	688	463						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		548	314	198408	8149499273	
218	13:38:34.218	00:00:00.218	9	665.2943	471.2988	0.6502372	0.4015245	589.3385	4.042995	0	679.5228	481.0665	0.3432266	0.4246026	582.0349	3.996305	0	0	672	476						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		532	327	218407	8149519272	
238	13:38:34.238	00:00:00.238	10	665.2223	455.662	0.6504514	0.4023632	589.3385	3.961445	0	687.9125	484.9106	0.3435284	0.4253845	582.0349	4.002704	0	0	677	470						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		537	321	238287	8149539152	
258	13:38:34.258	00:00:00.258	11	671.6881	460.9423	0.6509478	0.4032291	589.3385	4.032612	0	689.6564	478.2468	0.3439185	0.4261914	582.0349	3.956606	0	0	681	470						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		541	321	258280	8149559145	
278	13:38:34.278	00:00:00.278	12	673.2479	465.4066	0.6509801	0.4047746	587.9407	3.992723	0	693.0199	484.287	0.3443192	0.4276332	579.3408	3.936532	0	0	683	475						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		543	326	278163	8149579028	
298	13:38:34.298	00:00:00.298	13	714.7731	570.2596	0.6514515	0.4058276	587.9407	4.083668	0	723.6421	542.3888	0.344699	0.4287308	579.3408	4.02014	0	0	719	556						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		579	407	298153	8149599018	
318	13:38:34.318	00:00:00.318	14	705.0361	558.6459	0.6520144	0.4063762	587.9407	4.096817	0	727.0411	549.8174	0.3450783	0.4291712	579.3408	4.05711	0	0	716	554						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		576	405	318029	8149618894	
338	13:38:34.338	00:00:00.338	15	710.989	530.7134	0.6523259	0.4067282	587.9407	4.005068	0	727.7939	556.0131	0.3453033	0.4293773	579.3408	4.050966	0	0	719	543						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		579	394	338027	8149638892	
358	13:38:34.358	00:00:00.357	16	719.8453	560.1157	0.6523302	0.4069345	587.9407	4.033492	0	725.7059	559.4791	0.3452505	0.429548	579.3408	4.096812	0	0	723	560						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		583	411	357905	8149658770	
378	13:38:34.378	00:00:00.377	17	718.9233	549.49	0.6520861	0.4071007	588.9594	4.019719	0	727.0084	562.451	0.344923	0.4297858	579.6014	4.109797	0	0	723	556						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		583	407	377900	8149678765	
398	13:38:34.398	00:00:00.397	18	710.1816	541.5798	0.6516976	0.4070693	588.9594	3.958411	0	728.5851	557.7881	0.3445663	0.4297997	579.6014	4.011097	0	0	719	550						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		579	401	397787	8149698652	
418	13:38:34.418	00:00:00.417	19	701.8289	584.3321	0.6512846	0.4076867	588.9594	3.938577	0	709.1351	595.081	0.3446063	0.4304012	579.6014	3.918081	0	0	705	590						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		565	441	417776	8149718641	
438	13:38:34.438	00:00:00.437	20	707.5427	598.9332	0.651123	0.4074174	588.9594	3.824772	0	724.2682	607.2351	0.3442329	0.4303179	579.6014	3.869458	0	0	716	603						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		576	454	437687	8149738552	
458	13:38:34.458	00:00:00.457	21	697.4225	622.8312	0.6509885	0.4071249	588.9594	3.899211	0	721.7382	589.7075	0.3439001	0.4298959	579.6014	3.735652	0	0	710	606						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		570	457	457695	8149758560	
478	13:38:34.478	00:00:00.477	22	703.6968	647.3455	0.6508515	0.4067277	584.3898	3.819076	0	720.5651	597.238	0.3436973	0.4295146	576.7543	3.64114	0	0	712	622						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		572	473	477560	8149778425	
498	13:38:34.498	00:00:00.497	23	695.8888	604.1719	0.6507757	0.4063751	584.3898	3.641572	0	718.7939	613.8688	0.3435313	0.4292406	576.7543	3.679293	0	0	707	609						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		567	460	497554	8149798419	
517	13:38:34.517	00:00:00.517	24	714.494	619.2682	0.6508621	0.4063099	584.3898	3.602701	0	715.5123	606.258	0.3434851	0.4292285	576.7543	3.582344	0	0	715	613						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		575	464	517464	8149818329	
537	13:38:34.537	00:00:00.537	25	704.5082	638.4302	0.6508272	0.4064666	584.3898	3.635784	0	729.2896	544.8787	0.343414	0.4296296	576.7543	3.49547	0	0	717	592						1917.170med_resized.jpg	0	1000	725	140	149	565	406	538	0	Content		577	443	537409	8149838274	
