System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 hcw
Machine Name:	 RPC354

Data properties:

Recording name:	 Rec 39
Recording date:	 05/04/2009
Recording time:	 12:36:47
Recording resolution:	 1280 x 1024

Export date:	 24/10/2012
Export time:	 12:01:59

Participant:	 P37
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 100
Min duration: 200

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	1947.445low.JPG																	
21	12:36:47.021	00:00:00.020	0	462.8461	556.799	0.5866277	0.4381314	761.1162	4.015613	0	605.3293	566.4582	0.3328019	0.4063383	750.3046	4.28351	0	0	534	562						1947.445low.JPG	0	414	332	433	346	99	206	259	0	Content		101	216	20579	4442085818	
41	12:36:47.041	00:00:00.040	1	469.1797	554.836	0.5866076	0.4385985	765.2529	4.071249	0	604.3694	542.1959	0.332774	0.4068018	749.4395	4.236373	0	0	537	549						1947.445low.JPG	0	414	332	433	346	99	206	259	0	Content		104	203	40577	4442105816	
60	12:36:47.060	00:00:00.060	2	461.0795	540.284	0.5864832	0.4386641	765.2529	4.161131	0	610.1501	537.3444	0.3325908	0.4069572	749.4395	4.583395	0	0	536	539						1947.445low.JPG	0	414	332	433	346	99	206	259	0	Content		103	193	60450	4442125689	
80	12:36:47.080	00:00:00.080	3	495.7708	530.9253	0.5863476	0.4383401	765.2529	4.142663	0	597.26	537.0128	0.332431	0.4066034	749.4395	4.489858	0	0	547	534						1947.445low.JPG	0	414	332	433	346	99	206	259	0	Content		114	188	80470	4442145709	
100	12:36:47.100	00:00:00.100	4	498.8315	547.3876	0.5861985	0.4377528	765.2529	4.139313	0	584.2388	551.5803	0.3323146	0.406141	749.4395	4.397087	0	0	542	549						1947.445low.JPG	0	414	332	433	346	99	206	259	0	Content		109	203	100458	4442165697	
120	12:36:47.120	00:00:00.120	5	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	120331	4442185570	
140	12:36:47.140	00:00:00.140	6	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	140353	4442205592	
160	12:36:47.160	00:00:00.160	7	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	160220	4442225459	
180	12:36:47.180	00:00:00.180	8	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	180080	4442245319	
200	12:36:47.200	00:00:00.200	9	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	200080	4442265319	
220	12:36:47.220	00:00:00.220	10	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	220089	4442285328	
240	12:36:47.240	00:00:00.239	11	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	239984	4442305223	
260	12:36:47.260	00:00:00.259	12	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	259967	4442325206	
280	12:36:47.280	00:00:00.279	13	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	279829	4442345068	
300	12:36:47.300	00:00:00.299	14	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	299701	4442364940	
320	12:36:47.320	00:00:00.319	15	-1280	-1024	0.5860969	0.4372463	-1	-1	4	-1280	-1024	0.5860969	0.4372463	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	319699	4442384938	
340	12:36:47.340	00:00:00.339	16	564.7794	384.063	0.586069	0.4377784	755.6003	4.63201	0	-1280	-1024	0.586069	0.4377784	-1	-1	4	1	565	384						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		132	38	339577	4442404816	
360	12:36:47.360	00:00:00.359	17	599.0374	475.7143	0.5858827	0.43763	755.6003	4.012105	0	-1280	-1024	0.5858827	0.43763	-1	-1	4	1	599	476						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		166	130	359598	4442424837	
379	12:36:47.379	00:00:00.379	18	606.8214	490.9805	0.5857483	0.436881	755.6003	4.033042	0	606.1823	381.8338	0.3325702	0.4056276	755.6003	4.688859	0	1	607	436						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		174	90	379454	4442444693	
399	12:36:47.399	00:00:00.399	19	579.9821	475.7051	0.5856289	0.4358395	755.6003	3.992546	0	-1280	-1024	0.5856289	0.4358395	-1	-1	4	1	580	476						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		147	130	399452	4442464691	
419	12:36:47.419	00:00:00.419	20	587.7505	471.598	0.5855978	0.434726	761.566	4.023887	0	-1280	-1024	0.3322892	0.4037455	-1	-1	4	1	588	472						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		155	126	419323	4442484562	
439	12:36:47.439	00:00:00.439	21	555.8996	464.8303	0.5857822	0.4338773	761.566	4.168903	0	600.8229	477.5809	0.3324491	0.4028583	751.1951	5.008633	0	1	578	471						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		145	125	439321	4442504560	
459	12:36:47.459	00:00:00.459	22	556.5047	477.0784	0.5860435	0.4332238	761.566	4.052354	0	628.8375	472.38	0.3327934	0.4022617	751.1951	4.365301	0	1	593	475						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		160	129	459327	4442524566	
479	12:36:47.479	00:00:00.479	23	523.2281	425.7534	0.5865099	0.43306	761.566	4.267636	0	588.9876	548.95	0.3331692	0.402013	751.1951	4.827808	0	1	556	487						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		123	141	479196	4442544435	
499	12:36:47.499	00:00:00.499	24	571.3976	481.8606	0.5868198	0.4331064	761.566	4.137968	0	628.7402	456.8891	0.3335536	0.4021095	751.1951	4.413439	0	1	600	469						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		167	123	499070	4442564309	
519	12:36:47.519	00:00:00.519	25	563.5475	464.9035	0.5871209	0.4334925	762.1655	4.134121	0	614.4361	473.2882	0.333816	0.4024384	750.0732	4.576949	0	1	589	469						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		156	123	519070	4442584309	
539	12:36:47.539	00:00:00.538	26	541.3776	473.1561	0.5873074	0.4341734	762.1655	4.195437	0	646.0137	457.074	0.3340321	0.40315	750.0732	4.513279	0	1	594	465						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		161	119	538968	4442604207	
559	12:36:47.559	00:00:00.558	27	508.2062	458.1081	0.5874	0.4351059	762.1655	4.20169	0	611.7621	503.0257	0.3341668	0.4038974	750.0732	4.409501	0	1	560	481						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		127	135	558971	4442624210	
579	12:36:47.579	00:00:00.578	28	500.8778	463.9737	0.5874553	0.4360407	762.1655	4.32964	0	619.4012	488.3447	0.334232	0.4046542	750.0732	4.402259	0	1	560	476						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		127	130	578831	4442644070	
599	12:36:47.599	00:00:00.598	29	533.4918	456.7606	0.5875211	0.4368467	762.1655	4.239448	0	618.9119	451.7246	0.3342986	0.4053971	750.0732	4.470613	0	1	576	454						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		143	108	598858	4442664097	
619	12:36:47.619	00:00:00.618	30	513.9727	457.4859	0.5870595	0.4378715	762.8913	4.282221	0	621.3118	469.0987	0.3341109	0.4063501	751.0233	4.418832	0	1	568	463						1947.445low.JPG	0	414	332	433	346	147	117	299	0	Content		135	117	618697	4442683936	
639	12:36:47.639	00:00:00.638	31	565.2832	558.4758	0.587177	0.4381342	762.8913	4.291352	0	681.422	594.7369	0.334118	0.4065186	751.0233	4.571018	0	2	623	577						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		190	231	638689	4442703928	
659	12:36:47.659	00:00:00.658	32	555.2631	545.3794	0.5873384	0.4380042	762.8913	4.290541	0	665.2026	583.2158	0.3342427	0.4062951	751.0233	4.465415	0	2	610	564						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		177	218	658691	4442723930	
679	12:36:47.679	00:00:00.678	33	553.1378	550.9752	0.5876524	0.4376193	762.8913	4.144862	0	672.7853	556.3438	0.3344393	0.4059516	751.0233	4.447433	0	2	613	554						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		180	208	678565	4442743804	
698	12:36:47.698	00:00:00.698	34	547.6757	547.9599	0.5879193	0.4370628	762.8913	4.248866	0	651.6199	612.9314	0.3346569	0.4053447	751.0233	4.625078	0	2	600	580						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		167	234	698441	4442763680	
718	12:36:47.718	00:00:00.718	35	546.0552	552.3819	0.5881203	0.4365181	762.1426	4.204454	0	649.5989	605.4789	0.3348756	0.404821	749.1888	4.561347	0	2	598	579						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		165	233	718440	4442783679	
738	12:36:47.738	00:00:00.738	36	573.2661	590.3666	0.5882518	0.4360286	762.1426	4.261546	0	662.7361	587.0539	0.3349982	0.4043269	749.1888	4.538012	0	2	618	589						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		185	243	738437	4442803676	
758	12:36:47.758	00:00:00.758	37	576.7269	580.1729	0.5884154	0.4358618	762.1426	4.186933	0	697.2451	547.8124	0.3350758	0.4041615	749.1888	4.327395	0	2	637	564						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		204	218	758330	4442823569	
778	12:36:47.778	00:00:00.778	38	554.6349	576.7324	0.5884023	0.4359918	762.1426	4.213248	0	674.4958	547.5992	0.3350348	0.404323	749.1888	4.437162	0	2	615	562						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		182	216	778192	4442843431	
798	12:36:47.798	00:00:00.798	39	581.4832	590.8575	0.5882348	0.4364707	762.1426	4.149152	0	696.1163	536.534	0.3348947	0.4049743	749.1888	4.416461	0	2	639	564						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		206	218	798188	4442863427	
818	12:36:47.818	00:00:00.818	40	574.5004	583.7404	0.588073	0.4371419	762.9026	4.14938	0	692.0401	531.6093	0.334665	0.4057311	750.2681	4.401963	0	2	633	558						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		200	212	818188	4442883427	
838	12:36:47.838	00:00:00.838	41	608.0694	587.7853	0.5878729	0.4377884	762.9026	4.181911	0	668.9951	552.8259	0.3344246	0.4064326	750.2681	4.516594	0	2	639	570						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		206	224	838058	4442903297	
858	12:36:47.858	00:00:00.857	42	557.3266	572.2855	0.587446	0.438113	762.9026	4.049314	0	691.0369	576.589	0.3340487	0.4071155	750.2681	4.416907	0	2	624	574						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		191	228	857939	4442923178	
878	12:36:47.878	00:00:00.877	43	584.1899	560.6867	0.5870568	0.4383838	762.9026	4.165297	0	671.7557	577.8483	0.3336326	0.40749	750.2681	4.451343	0	2	628	569						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		195	223	877936	4442943175	
898	12:36:47.898	00:00:00.897	44	589.5389	548.8737	0.5865697	0.4385138	762.9026	4.190979	0	672.7631	539.5211	0.333147	0.4077882	750.2681	4.672691	0	2	631	544						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		198	198	897809	4442963048	
918	12:36:47.918	00:00:00.917	45	572.2167	539.4657	0.5860267	0.4384683	761.0994	4.14481	0	671.3081	551.8395	0.3326654	0.4078669	749.4678	4.639613	0	2	622	546						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		189	200	917810	4442983049	
938	12:36:47.938	00:00:00.937	46	589.7701	585.2771	0.5856072	0.438235	761.0994	4.237874	0	694.4099	531.3719	0.3322044	0.4078115	749.4678	4.45577	0	2	642	558						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		209	212	937681	4443002920	
958	12:36:47.958	00:00:00.957	47	573.4396	572.0566	0.5851756	0.4379626	761.0994	4.116319	0	702.4056	609.0581	0.3317789	0.407357	749.4678	4.453648	0	2	638	591						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		205	245	957705	4443022944	
978	12:36:47.978	00:00:00.977	48	572.0394	567.4166	0.5848871	0.4372537	761.0994	4.123567	0	697.5006	497.629	0.3314408	0.4068665	749.4678	4.39502	0	2	635	533						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		202	187	977566	4443042805	
998	12:36:47.998	00:00:00.997	49	642.0391	491.5343	0.5842701	0.4357607	761.0994	4.235878	0	706.9769	476.0723	0.3311633	0.4054958	749.4678	4.412387	0	2	675	484						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		242	138	997560	4443062799	
1018	12:36:48.018	00:00:01.017	50	634.8658	472.4109	0.5837343	0.4343739	763.3928	4.189076	0	703.7326	478.6934	0.330874	0.404374	751.4408	4.40438	0	2	669	476						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		236	130	1017566	4443082805	
1037	12:36:48.037	00:00:01.037	51	592.7825	448.967	0.5835902	0.4340528	763.3928	4.175843	0	688.5203	481.7465	0.3304537	0.4042042	751.4408	4.504525	0	2	641	465						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		208	119	1037436	4443102675	
1057	12:36:48.057	00:00:01.057	52	613.4672	455.7032	0.5832648	0.434098	763.3928	4.139457	0	743.3861	429.8872	0.330072	0.4043373	751.4408	4.419385	0	2	678	443						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		245	97	1057331	4443122570	
1077	12:36:48.077	00:00:01.077	53	578.8052	448.9312	0.582903	0.4344755	763.3928	4.137163	0	692.25	437.9101	0.3296094	0.4049022	751.4408	4.471799	0	2	636	443						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		203	97	1077311	4443142550	
1097	12:36:48.097	00:00:01.097	54	542.1921	423.9276	0.5824757	0.4351674	763.3928	4.134855	0	706.8915	456.446	0.3291722	0.4056272	751.4408	4.408847	0	2	625	440						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		192	94	1097312	4443162551	
1117	12:36:48.117	00:00:01.117	55	543.2262	426.9884	0.5821592	0.4359673	761.54	4.12273	0	717.9693	432.7872	0.3287883	0.4064112	750.4342	4.417002	0	2	631	430						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		198	84	1117175	4443182414	
1137	12:36:48.137	00:00:01.137	56	571.0491	441.799	0.5818623	0.4365552	761.54	4.191869	0	718.6429	458.4189	0.3284964	0.4071231	750.4342	4.397601	0	2	645	450						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		212	104	1137060	4443202299	
1157	12:36:48.157	00:00:01.157	57	554.3878	432.9811	0.581651	0.4370545	761.54	4.119608	0	700.6135	470.5922	0.3283143	0.4076082	750.4342	4.44138	0	2	628	452						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		195	106	1157097	4443222336	
1177	12:36:48.177	00:00:01.176	58	623.7596	485.342	0.5816311	0.4372201	761.54	4.221175	0	700.8389	420.5594	0.3282836	0.4079129	750.4342	4.422478	0	2	662	453						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		229	107	1176950	4443242189	
1197	12:36:48.197	00:00:01.196	59	550.2327	402.9141	0.5816494	0.4372596	761.54	4.198008	0	713.8065	412.0899	0.3283022	0.4078142	750.4342	4.578615	0	2	632	408						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		199	62	1196932	4443262171	
1217	12:36:48.217	00:00:01.216	60	568.0823	406.0938	0.5816229	0.4371272	762.3991	4.192409	0	705.7394	403.9264	0.328272	0.4074401	749.8959	4.607625	0	2	637	405						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		204	59	1216806	4443282045	
1237	12:36:48.237	00:00:01.236	61	614.9886	439.6362	0.5815569	0.4368317	762.3991	4.167293	0	687.0746	474.1228	0.328199	0.4070974	749.8959	4.525249	0	2	651	457						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		218	111	1236797	4443302036	
1257	12:36:48.257	00:00:01.256	62	603.6766	460.4408	0.5814669	0.4363197	762.3991	4.211405	0	686.2783	459.3641	0.32809	0.4064959	749.8959	4.44068	0	2	645	460						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		212	114	1256678	4443321917	
1277	12:36:48.277	00:00:01.276	63	602.1039	429.9401	0.5813152	0.4359382	762.3991	4.267639	0	714.7156	443.5967	0.3279434	0.4061822	749.8959	4.455865	0	2	658	437						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		225	91	1276669	4443341908	
1297	12:36:48.297	00:00:01.296	64	582.866	432.5649	0.5810552	0.4354822	762.3991	4.120723	0	717.2621	443.0692	0.3277269	0.4057336	749.8959	4.376919	0	2	650	438						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		217	92	1296551	4443361790	
1317	12:36:48.317	00:00:01.316	65	578.0819	436.8476	0.580899	0.435158	761.0612	4.145816	0	725.075	439.5101	0.3275696	0.4053591	750.7645	4.365674	0	2	652	438						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		219	92	1316546	4443381785	
1336	12:36:48.336	00:00:01.336	66	626.5021	449.6399	0.580816	0.4349504	761.0612	4.198432	0	699.1215	455.4505	0.3274744	0.4051786	750.7645	4.480291	0	2	663	453						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		230	107	1336425	4443401664	
1356	12:36:48.356	00:00:01.356	67	582.3755	438.1467	0.5807283	0.4348277	761.0612	4.230273	0	708.5879	457.9617	0.3273855	0.4051066	750.7645	4.490663	0	2	645	448						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		212	102	1356459	4443421698	
1376	12:36:48.376	00:00:01.376	68	599.8823	438.6026	0.5806094	0.4349615	761.0612	4.175393	0	704.2095	467.6372	0.3272623	0.4052448	750.7645	4.517296	0	2	652	453						1947.445low.JPG	0	414	332	433	346	205	152	817	0	Content		219	107	1376449	4443441688	
